// Disassembly at 0x4400 - 0x65af. (incomplete, see notes for complete disassembly)

rCode = 0x4400
rParam = 0x97f0

-ADDR-	DEC-INSTRC	HEX-INSTRC	DISASSEMBLY
0x4400	    231945	   0x38a09	. <-- cute
0x4404	        80	      0x50	. <-- v0
0x4408	  83919369	 0x5008209	. <-- op
0x440c	     33293	    0x820d	.
0x4410	     12288	    0x3000	.
0x4414	    395785	   0x60a09	.
0x4418	     33293	    0x820d	.
0x441c	     24576	    0x6000	.
0x4420	    133641	   0x20a09	.
0x4424	  33587721	 0x2008209	.
0x4428	     33293	    0x820d	.
0x442c	     65536	   0x10000	.
0x4430	    264713	   0x40a09	.
0x4434	     33293	    0x820d	.
0x4438	     65536	   0x10000	.
0x443c	     68105	   0x10a09	.
0x4440	     33291	    0x820b	.
0x4444	        72	      0x48	.
0x4448	  16809992	 0x1008008	.
0x444c	     33291	    0x820b	.
0x4450	      4360	    0x1108	.
0x4454	     33289	    0x8209	.
0x4458	2147483648	0x80000000	.
0x445c	     33311	    0x821f	.
0x4460	       204	      0xcc	.
0x4464	  16809986	 0x1008002	.
0x4468	     33311	    0x821f	.
0x446c	       140	      0x8c	.
0x4470	     33297	    0x8211	.
0x4474	2147483648	0x80000000	.
0x4478	     33290	    0x820a	.
0x447c	         0	       0x0	.
0x4480	    295435	   0x4820b	.
0x4484	       100	      0x64	.
0x4488	        32	      0x20	.
0x448c	     33289	    0x8209	.
0x4490	        64	      0x40	.
0x4494	     29193	    0x7209	.
0x4498	     33297	    0x8211	.
0x449c	4278190080	0xff000000	.
0x44a0	        32	      0x20	.
0x44a4	    524809	   0x80209	.
0x44a8	    557585	   0x88211	.
0x44ac	4278190080	0xff000000	.
0x44b0	    295433	   0x48209	.
0x44b4	        64	      0x40	.
0x44b8	 134511122	 0x8047a12	.
0x44bc	  67138057	 0x4007209	.
0x44c0	     33297	    0x8211	.
0x44c4	4278190080	0xff000000	.
0x44c8	        32	      0x20	.
0x44cc	    295433	   0x48209	.
0x44d0	        64	      0x40	.
0x44d4	    524815	   0x8020f	.
0x44d8	 134511121	 0x8047a11	.
0x44dc	  67138057	 0x4007209	.
0x44e0	        32	      0x20	.
0x44e4	     33289	    0x8209	.
0x44e8	 536870912	0x20000000	.
0x44ec	     33311	    0x821f	.
0x44f0	       164	      0xa4	.
0x44f4	        32	      0x20	.
0x44f8	     33311	    0x821f	.
0x44fc	       140	      0x8c	.
0x4500	     33297	    0x8211	.
0x4504	 536870912	0x20000000	.
0x4508	     33290	    0x820a	.
0x450c	         0	       0x0	.
0x4510	    295435	   0x4820b	.
0x4514	       292	     0x124	.
0x4518	  16809986	 0x1008002	.
0x451c	     33291	    0x820b	.
0x4520	       248	      0xf8	.
0x4524	        32	      0x20	.
0x4528	     33289	    0x8209	.
0x452c	        72	      0x48	.
0x4530	     29193	    0x7209	.
0x4534	        32	      0x20	.
0x4538	    295433	   0x48209	.
0x453c	        64	      0x40	.
0x4540	  67400201	 0x4047209	.
0x4544	  67108873	 0x4000009	.
0x4548	  67141653	 0x4008015	.
0x454c	  67174409	 0x4010009	.
0x4550	 251756561	 0xf018011	.
0x4554	  84017161	 0x5020009	.
0x4558	  67272725	 0x4028015	.
0x455c	  84082697	 0x5030009	.
0x4560	 251887633	 0xf038011	.
0x4564	        32	      0x20	.
0x4568	  67371536	 0x4040210	.
0x456c	    262153	   0x40009	.
0x4570	  67403795	 0x4048013	.
0x4574	  17039378	 0x1040012	.
0x4578	  33882121	 0x2050009	.
0x457c	  67469331	 0x4058013	.
0x4580	  50659346	 0x3050012	.
0x4584	    557577	   0x88209	.
0x4588	        64	      0x40	.
0x458c	    588305	   0x8fa11	.
0x4590	4294901760	0xffff0000	.
0x4594	  67664402	 0x4087a12	.
0x4598	        32	      0x20	.
0x459c	    295433	   0x48209	.
0x45a0	        68	      0x44	.
0x45a4	    293385	   0x47a09	.
0x45a8	        32	      0x20	.
0x45ac	    295433	   0x48209	.
0x45b0	        68	      0x44	.
0x45b4	  67138057	 0x4007209	.
0x45b8	        32	      0x20	.
0x45bc	    262665	   0x40209	.
0x45c0	    393481	   0x60109	.
0x45c4	    164383	   0x2821f	.
0x45c8	       296	     0x128	.
0x45cc	 168558857	 0xa0c0109	.
0x45d0	    688393	   0xa8109	.
0x45d4	         0	       0x0	.
0x45d8	 201851162	 0xc08011a	.
0x45dc	  17334803	 0x1088213	.
0x45e0	 202113552	 0xc0c0210	.
0x45e4	  67910153	 0x40c3a09	.
0x45e8	    819725	   0xc820d	.
0x45ec	         4	       0x4	.
0x45f0	 135004682	 0x80c020a	.
0x45f4	   1868299	  0x1c820b	.
0x45f8	       484	     0x1e4	.
0x45fc	        32	      0x20	.
0x4600	    786953	   0xc0209	.
0x4604	  17596947	 0x10c8213	.
0x4608	  68157961	 0x4100209	.
0x460c	   1081882	  0x10821a	.
0x4610	       160	      0xa0	.
0x4614	 269222413	0x100c020d	.
0x4618	 135018761	 0x80c3909	.
0x461c	        32	      0x20	.
0x4620	    786953	   0xc0209	.
0x4624	  17596947	 0x10c8213	.
0x4628	  68157961	 0x4100209	.
0x462c	   1081882	  0x10821a	.
0x4630	       160	      0xa0	.
0x4634	 269222413	0x100c020d	.
0x4638	 201863433	 0xc083109	.
0x463c	        32	      0x20	.
0x4640	    786953	   0xc0209	.
0x4644	  17596947	 0x10c8213	.
0x4648	  68157961	 0x4100209	.
0x464c	   1081882	  0x10821a	.
0x4650	       160	      0xa0	.
0x4654	 269222413	0x100c020d	.
0x4658	 135018505	 0x80c3809	.
0x465c	        32	      0x20	.
0x4660	    786953	   0xc0209	.
0x4664	  17596947	 0x10c8213	.
0x4668	  68157961	 0x4100209	.
0x466c	   1081882	  0x10821a	.
0x4670	       160	      0xa0	.
0x4674	 269222413	0x100c020d	.
0x4678	    819725	   0xc820d	.
0x467c	         1	       0x1	.
0x4680	 151795721	 0x90c3809	.
0x4684	        32	      0x20	.
0x4688	       528	     0x210	.
0x468c	     31241	    0x7a09	.
0x4690	        32	      0x20	.
0x4694	       528	     0x210	.
0x4698	     29193	    0x7209	.
0x469c	     33290	    0x820a	.
0x46a0	         0	       0x0	.
0x46a4	   1606155	  0x18820b	.
0x46a8	       696	     0x2b8	.
0x46ac	  16809986	 0x1008002	.
0x46b0	     33291	    0x820b	.
0x46b4	       664	     0x298	.
0x46b8	  67371536	 0x4040210	.
0x46bc	  67402249	 0x4047a09	.
0x46c0	        32	      0x20	.
0x46c4	       528	     0x210	.
0x46c8	     29193	    0x7209	.
0x46cc	        32	      0x20	.
0x46d0	     33289	    0x8209	.
0x46d4	        24	      0x18	.
0x46d8	    291337	   0x47209	.
0x46dc	  67141646	 0x400800e	.
0x46e0	     29193	    0x7209	.
0x46e4	        32	      0x20	.
0x46e8	     33289	    0x8209	.
0x46ec	        28	      0x1c	.
0x46f0	     29193	    0x7209	.
0x46f4	        32	      0x20	.
0x46f8	     33289	    0x8209	.
0x46fc	        32	      0x20	.
0x4700	     29193	    0x7209	.
0x4704	        32	      0x20	.
0x4708	     33289	    0x8209	.
0x470c	        16	      0x10	.
0x4710	    291337	   0x47209	.
0x4714	 134250510	 0x800800e	.
0x4718	    553481	   0x87209	.
0x471c	  67141645	 0x400800d	.
0x4720	     29193	    0x7209	.
0x4724	        32	      0x20	.
0x4728	    786953	   0xc0209	.
0x472c	  68157961	 0x4100209	.
0x4730	 336855568	0x14140210	.
0x4734	 135528457	 0x8140009	.
0x4738	 135593993	 0x8150009	.
0x473c	 253067281	 0xf158011	.
0x4740	  68452372	 0x4148014	.
0x4744	 253001745	 0xf148011	.
0x4748	 152338442	 0x914800a	.
0x474c	   2392587	  0x24820b	.
0x4750	       864	     0x360	.
0x4754	 806649869	0x3014800d	.
0x4758	     33291	    0x820b	.
0x475c	       868	     0x364	.
0x4760	1460961293	0x5714800d	.
0x4764	    229919	   0x3821f	.
0x4768	       576	     0x240	.
0x476c	    819725	   0xc820d	.
0x4770	         1	       0x1	.
0x4774	 353632265	0x15140009	.
0x4778	 152338442	 0x914800a	.
0x477c	   2392587	  0x24820b	.
0x4780	       912	     0x390	.
0x4784	 806649869	0x3014800d	.
0x4788	     33291	    0x820b	.
0x478c	       916	     0x394	.
0x4790	1460961293	0x5714800d	.
0x4794	    229919	   0x3821f	.
0x4798	       576	     0x240	.
0x479c	        32	      0x20	.
0x47a0	 135018505	 0x80c3809	.
0x47a4	        32	      0x20	.
0x47a8	    295455	   0x4821f	.
